class_0,mmr_0,class_1,mmr_1,class_2,mmr_2,class_3,mmr_3,class_4,mmr_4,class_5,mmr_5,class_6,mmr_6,class_7,mmr_7,class_8,mmr_8,class_9,mmr_9,win,kerri_win_pct
Selendis,1940,Helios,2580,Scientist,1760,Ascendant,1520,Dehaka,2280,Prophet,1040,Selendis,1060.0,Scientist,2160.0,Selendis,1500.0,,,Survivor,0.8273515
Team Nova,1940,Ascendant,2580,Dehaka,1180,Zagara,1220,Scientist,1960,Prophet,1500,Mira,1560.0,Spirit,1300.0,Stukov,1720.0,Selendis,1880.0,Survivor,0.033202786
Dehaka,1400,Ascendant,1200,Ascendant,1200,Ascendant,1200,Zagara,1340,Ascendant,1500,,,,,,,,,Kerrigan,0.7730064
Ascendant,1180,Ascendant,1460,Dehaka,1360,Prophet,1820,Dark Templar,1500,Team Nova,1540,Nomad,1460.0,Nomad,2000.0,Ascendant,1200.0,Zagara,1180.0,Survivor,0.17513499
Dehaka,1180,Spirit,1560,Stukov,720,Scientist,2140,Zagara,1980,Nomad,2080,Ascendant,1180.0,Ares,1380.0,Swann,1200.0,Prophet,1220.0,Kerrigan,0.54944694
Thakras,2580,Scion,1800,Spirit,1880,Niadra,2500,Selendis,1800,Helios,1600,Ascendant,1220.0,Dark Templar,2220.0,Scientist,1380.0,Scientist,1400.0,Kerrigan,0.9638924
Stukov,640,Nomad,1300,Spirit,1540,Selendis,1960,Scientist,1540,Dehaka,1840,Nomad,1600.0,Team Nova,1580.0,Zagara,1380.0,Ascendant,1200.0,Survivor,0.619571
Stukov,1420,Prophet,1140,Dehaka,1240,Spirit,1480,Nomad,1720,Niadra,1040,Swann,2160.0,Team Nova,1120.0,Scientist,1560.0,Selendis,1640.0,Survivor,0.100058034
Spirit,1820,Scion,1680,Dark Templar,2220,Team Nova,2060,Mira,1560,Ares,1140,Zagara,2180.0,Selendis,1380.0,Kerrigan,1560.0,Artanis,2120.0,Kerrigan,0.49102613
Helios,1220,Nomad,1340,Scientist,1720,Scientist,1380,Zagara,1360,Kerrigan,1420,Artanis,1540.0,Prophet,1600.0,Artanis,1740.0,Ascendant,1520.0,Survivor,0.3554557
Ascendant,1520,Thakras,1360,Dark Templar,1760,Spirit,1180,Spirit,1420,Ascendant,1600,Nomad,1580.0,Mira,1480.0,Artanis,1540.0,,,Survivor,0.31682467
Zagara,1420,Ascendant,1200,Ascendant,1200,Ascendant,1200,Scientist,1200,Dehaka,1200,Scientist,1200.0,,,,,,,Kerrigan,0.77716726
Team Nova,1160,Selendis,1620,Zagara,1360,Kerrigan,1040,Stukov,1200,Selendis,840,Stukov,1200.0,Prophet,1900.0,Ascendant,1160.0,Ascendant,1240.0,Survivor,0.34770423
Dehaka,1800,Stukov,1160,Dark Templar,1600,Prophet,1840,Selendis,1260,Team Nova,1500,Helios,1600.0,Engineer,1240.0,Scientist,1220.0,Niadra,1320.0,Survivor,0.6072644
Zagara,1520,Ares,1620,Artanis,1140,Prophet,1160,Spirit,1560,Dehaka,1460,Ascendant,1280.0,Team Nova,1580.0,Dark Templar,2100.0,,,Survivor,0.45946214
Scientist,2420,Swann,2160,Nomad,1720,Stukov,1660,Selendis,1820,Nomad,1620,Dark Templar,2160.0,Zagara,1380.0,Kerrigan,1440.0,Prophet,1780.0,Survivor,0.061451163
Prophet,1540,Dehaka,1600,Nomad,1500,Spirit,1700,Scientist,1760,Stukov,1400,Spirit,1200.0,Stukov,1820.0,Mira,1380.0,Zagara,1500.0,Survivor,0.4853832
Team Nova,1420,Selendis,1280,Dehaka,1640,Mira,1480,Mira,1620,Zagara,1340,Scientist,1740.0,Prophet,1320.0,Selendis,1780.0,Ascendant,1200.0,Survivor,0.48573127
Dehaka,2120,Ascendant,1380,Prophet,1540,Scientist,1220,Stukov,880,Mira,1200,Ares,1360.0,Niadra,1480.0,Selendis,1360.0,Selendis,1400.0,Kerrigan,0.9095397
Mira,1220,Zagara,1200,Selendis,1360,Helios,1700,Scientist,1200,Thakras,2580,Prophet,1580.0,Artanis,1000.0,,,,,Kerrigan,0.9479103
Scientist,1820,Ascendant,1540,Ascendant,1700,Artanis,1280,Engineer,1820,Scientist,2120,Niadra,1260.0,Ares,2220.0,Swann,1460.0,Dehaka,1280.0,Survivor,0.07097951
Scientist,1620,Thakras,1200,Prophet,1800,Stukov,1200,Ascendant,1200,Spirit,1260,Zagara,1320.0,Selendis,1280.0,Ascendant,1860.0,,,Kerrigan,0.32858488
Spirit,1780,Zagara,1900,Ascendant,1140,Dehaka,1840,Ascendant,1180,Ascendant,600,Ascendant,1100.0,Mira,1320.0,Scientist,1400.0,Helios,1980.0,Kerrigan,0.8855945
Zagara,1240,Ascendant,1220,Ares,1520,Thakras,1040,Selendis,1080,Nomad,2060,Helios,1540.0,Ascendant,1200.0,Dark Templar,1780.0,Team Nova,2120.0,Survivor,0.097979754
Scientist,1600,Spirit,1640,Prophet,1200,Zagara,1340,Artanis,1260,Spirit,1260,Dehaka,1380.0,Spirit,1200.0,Dark Templar,2180.0,Nomad,960.0,Survivor,0.3653242
Selendis,1300,Zagara,1460,Selendis,1240,Prophet,1240,Stukov,1560,Kerrigan,2560,Mira,2120.0,Scientist,1240.0,Selendis,1260.0,Ascendant,1200.0,Kerrigan,0.9242731
Nomad,1640,Dark Templar,1460,Zagara,1520,Ascendant,780,Dehaka,1260,Nomad,1660,Spirit,1720.0,Mira,1840.0,Scientist,1200.0,Scientist,1200.0,Survivor,0.39328483
Kerrigan,1120,Team Nova,1840,Ascendant,1260,Scientist,1760,Ascendant,1260,Stukov,1600,Zagara,1380.0,Ascendant,860.0,Artanis,1460.0,,,Kerrigan,0.29834116
Prophet,1800,Scientist,2260,Nomad,1560,Stukov,1500,Engineer,1420,Dark Templar,1460,Zagara,1180.0,Kerrigan,1960.0,Team Nova,1540.0,Ares,1260.0,Kerrigan,0.35653904
Kerrigan,1280,Helios,1600,Artanis,1360,Selendis,1220,Selendis,1360,Stukov,1200,Dark Templar,1480.0,Zagara,1200.0,Artanis,1200.0,Prophet,1080.0,Survivor,0.42340225
Ascendant,1260,Prophet,1620,Stukov,1420,Ascendant,1200,Kerrigan,1160,Selendis,1480,Ascendant,1160.0,Zagara,1280.0,Selendis,1380.0,Ascendant,1200.0,Survivor,0.39053437
Team Nova,2100,Nomad,2580,Dehaka,2580,Ascendant,1640,Zagara,1420,Selendis,1720,Spirit,2160.0,Ascendant,1780.0,Ascendant,2320.0,Selendis,1300.0,Kerrigan,0.3751958
Dark Templar,1240,Ascendant,1180,Dehaka,1240,Niadra,1800,Ascendant,1640,Spirit,2220,Swann,1440.0,Ascendant,1880.0,Scientist,1160.0,Scientist,1320.0,Survivor,0.42523184
Selendis,1440,Ascendant,1300,Nomad,1160,Swann,1340,Prophet,1460,Scientist,1760,Kerrigan,1240.0,Stukov,1200.0,Ascendant,1320.0,,,Survivor,0.34755793
Dark Templar,2180,Thakras,1120,Nomad,1400,Zagara,1480,Spirit,1180,Nomad,1320,Spirit,1400.0,Ascendant,1200.0,Scientist,1200.0,,,Survivor,0.3672846
Ascendant,1120,Prophet,1540,Zagara,1260,Spirit,2300,Team Nova,1660,Ascendant,1060,Dehaka,1420.0,Ascendant,1200.0,Spirit,1160.0,Artanis,1820.0,Survivor,0.24433161
Dehaka,2300,Ascendant,1160,Niadra,1240,Artanis,1060,Selendis,1920,Selendis,1740,Selendis,1500.0,Selendis,1480.0,Ascendant,1180.0,Team Nova,2580.0,Survivor,0.57934064
Kerrigan,1140,Prophet,1280,Niadra,1300,Spirit,1600,Nomad,1280,Ascendant,1220,Stukov,1520.0,Ascendant,1200.0,Artanis,1180.0,Ascendant,1540.0,Kerrigan,0.39535794
Stukov,1980,Mira,1560,Selendis,1360,Nomad,1260,Scientist,1240,Dark Templar,1280,Zagara,1180.0,Selendis,1300.0,Nomad,1620.0,,,Survivor,0.21131106
Kerrigan,1140,Selendis,1300,Spirit,1680,Spirit,1460,Swann,1680,Stukov,1260,Team Nova,1740.0,Ares,1720.0,Zagara,1940.0,,,Survivor,0.544379
Scientist,1920,Niadra,1500,Scientist,2100,Stukov,1180,Artanis,1300,Ascendant,1980,Kerrigan,1900.0,Ares,1420.0,Selendis,1720.0,Prophet,2340.0,Kerrigan,0.3126815
Stukov,1160,Scientist,1500,Dehaka,1500,Selendis,1500,Dark Templar,1560,Scientist,1080,Niadra,1000.0,,,,,,,Kerrigan,0.58789706
Team Nova,1920,Stukov,1080,Zagara,2220,Ares,1960,Nomad,2040,Mira,1880,Artanis,1080.0,Prophet,1120.0,Dehaka,1560.0,,,Kerrigan,0.78288066
Kerrigan,1480,Scientist,1520,Stukov,1520,Ares,1200,Ascendant,1100,Ares,1200,Ascendant,1180.0,Swann,600.0,Scientist,1200.0,,,Kerrigan,0.77000564
Zagara,1360,Ascendant,1200,Stukov,1200,Prophet,1200,Thakras,1880,Selendis,1280,Ascendant,1360.0,Dark Templar,2280.0,Ascendant,1180.0,Stukov,1380.0,Kerrigan,0.6702945
Scientist,1660,Nomad,1280,Dehaka,1380,Niadra,2300,Dark Templar,1500,Nomad,1560,Helios,1440.0,Team Nova,1540.0,Prophet,1360.0,Artanis,1340.0,Kerrigan,0.84383315
Prophet,1220,Ascendant,1140,Spirit,1460,Ascendant,1200,Swann,1560,Zagara,1280,Ares,1200.0,Team Nova,1400.0,Thakras,1500.0,,,Survivor,0.6415929
Dark Templar,1420,Ascendant,1340,Ascendant,1960,Zagara,2180,Artanis,1540,Scientist,1760,Ares,1640.0,Thakras,1360.0,Ascendant,1140.0,Team Nova,1740.0,Survivor,0.6565043
Swann,1380,Ares,1200,Zagara,1360,Selendis,1440,Mira,1340,Dark Templar,1340,Thakras,1040.0,Prophet,1520.0,Engineer,1640.0,Artanis,1540.0,Survivor,0.28180122
Scion,1660,Dark Templar,1700,Artanis,1320,Scientist,1880,Selendis,1340,Stukov,1420,Ascendant,1180.0,Zagara,1220.0,Kerrigan,1200.0,Spirit,1600.0,Kerrigan,0.17813466
Prophet,1580,Nomad,1720,Artanis,2220,Selendis,1520,Thakras,2280,Zagara,1380,Stukov,2000.0,Dark Templar,1580.0,Selendis,1280.0,Selendis,1500.0,Survivor,0.5707824
Dehaka,1720,Prophet,2580,Mira,1440,Selendis,1860,Artanis,1240,Team Nova,1960,Spirit,1580.0,Zagara,1580.0,Scientist,1980.0,Artanis,1180.0,Survivor,0.24029927
Scientist,1620,Scientist,1500,Kerrigan,1100,Engineer,1720,Zagara,1200,Ares,1200,Ascendant,1200.0,Ascendant,1200.0,Ascendant,1200.0,,,Survivor,0.3280899
Ares,2400,Selendis,1280,Artanis,1160,Prophet,1260,Nomad,1740,Ares,1220,Niadra,1200.0,Dehaka,1120.0,Spirit,1440.0,Ascendant,1200.0,Survivor,0.14434277
Mira,1400,Scientist,1720,Dehaka,2200,Dark Templar,1420,Ascendant,1100,Zagara,1200,Ares,1620.0,Artanis,1520.0,Prophet,1720.0,Nomad,1200.0,Survivor,0.71678305
Kerrigan,1040,Prophet,1480,Dark Templar,1580,Scientist,1480,Ascendant,1460,Niadra,1200,Spirit,1160.0,Ascendant,1180.0,Nomad,1380.0,,,Survivor,0.2816677
Dehaka,1400,Spirit,1700,Ascendant,1100,Team Nova,1800,Engineer,1240,Zagara,1560,Artanis,2020.0,Selendis,1280.0,Nomad,1460.0,Scientist,1180.0,Survivor,0.44692862
Thakras,1120,Spirit,1500,Dark Templar,1180,Ares,1200,Ascendant,1280,Artanis,1320,Prophet,1400.0,Scientist,1700.0,Spirit,1120.0,Niadra,1320.0,Kerrigan,0.3724246
Niadra,1320,Spirit,1560,Dehaka,1460,Nomad,1440,Prophet,1300,Artanis,1220,Ascendant,1200.0,Spirit,1600.0,Selendis,1960.0,Scientist,1520.0,Kerrigan,0.35941973
Selendis,1920,Dark Templar,1780,Artanis,2580,Dehaka,1200,Stukov,1740,Zagara,1360,Stukov,1840.0,Prophet,1040.0,Ares,1200.0,Ascendant,1520.0,Survivor,0.061589528
Ascendant,1120,Selendis,1400,Ascendant,1200,Prophet,1260,Niadra,1200,Scientist,1260,Stukov,1440.0,Thakras,2380.0,Artanis,1200.0,Ares,1200.0,Kerrigan,0.93077624
Ascendant,1280,Team Nova,2180,Ascendant,1460,Spirit,1460,Prophet,1460,Spirit,1160,Dehaka,1240.0,Stukov,2060.0,Zagara,1140.0,Ascendant,1980.0,Survivor,0.08953605
Team Nova,1700,Zagara,1280,Scientist,1480,Selendis,1100,Ascendant,1200,Ascendant,1200,Stukov,1200.0,Scientist,1200.0,Kerrigan,1240.0,Spirit,1660.0,Survivor,0.42115325
Ascendant,1160,Dehaka,1060,Scientist,1060,Scientist,1380,Stukov,1420,Ascendant,1200,Ascendant,1200.0,Zagara,1200.0,Selendis,1000.0,Ascendant,1080.0,Kerrigan,0.49437043
Spirit,1720,Niadra,1340,Ascendant,1280,Mira,1840,Team Nova,1500,Ascendant,1320,Prophet,1840.0,Thakras,1080.0,Ascendant,1420.0,,,Survivor,0.19673964
Dark Templar,1400,Zagara,1680,Ascendant,1340,Stukov,1540,Ascendant,1180,Ascendant,1200,Mira,1340.0,Kerrigan,2100.0,Ascendant,1600.0,Swann,2280.0,Kerrigan,0.7954463
Stukov,2040,Dehaka,1840,Stukov,1620,Scientist,1420,Engineer,1840,Engineer,1320,Zagara,1320.0,Helios,1520.0,Selendis,1540.0,Dark Templar,1820.0,Kerrigan,0.37912324
Dehaka,1800,Dark Templar,1320,Spirit,1180,Ascendant,1080,Artanis,1560,Ascendant,860,Swann,1340.0,Ascendant,1900.0,Niadra,1760.0,Artanis,1580.0,Kerrigan,0.8388448
