Selendis,1940,Helios,2580,Scientist,1760,Ascendant,1520,Dehaka,2280,Prophet,1040,Selendis,1060,Scientist,2160,Selendis,1500,
Team Nova,1940,Ascendant,2580,Dehaka,1180,Zagara,1220,Scientist,1960,Prophet,1500,Mira,1560,Spirit,1300,Stukov,1720,Selendis,1880,
Dehaka,1400,Ascendant,1200,Ascendant,1200,Ascendant,1200,Zagara,1340,Ascendant,1500,
Ascendant,1180,Ascendant,1460,Dehaka,1360,Prophet,1820,Dark Templar,1500,Team Nova,1540,Nomad,1460,Nomad,2000,Ascendant,1200,Zagara,1180,
Dehaka,1180,Spirit,1560,Stukov,720,Scientist,2140,Zagara,1980,Nomad,2080,Ascendant,1180,Ares,1380,Swann,1200,Prophet,1220,
Thakras,2580,Scion,1800,Spirit,1880,Niadra,2500,Selendis,1800,Helios,1600,Ascendant,1220,Dark Templar,2220,Scientist,1380,Scientist,1400,
Stukov,640,Nomad,1300,Spirit,1540,Selendis,1960,Scientist,1540,Dehaka,1840,Nomad,1600,Team Nova,1580,Zagara,1380,Ascendant,1200,
Stukov,1420,Prophet,1140,Dehaka,1240,Spirit,1480,Nomad,1720,Niadra,1040,Swann,2160,Team Nova,1120,Scientist,1560,Selendis,1640,
Spirit,1820,Scion,1680,Dark Templar,2220,Team Nova,2060,Mira,1560,Ares,1140,Zagara,2180,Selendis,1380,Kerrigan,1560,Artanis,2120,
Helios,1220,Nomad,1340,Scientist,1720,Scientist,1380,Zagara,1360,Kerrigan,1420,Artanis,1540,Prophet,1600,Artanis,1740,Ascendant,1520,
Ascendant,1520,Thakras,1360,Dark Templar,1760,Spirit,1180,Spirit,1420,Ascendant,1600,Nomad,1580,Mira,1480,Artanis,1540,
Zagara,1420,Ascendant,1200,Ascendant,1200,Ascendant,1200,Scientist,1200,Dehaka,1200,Scientist,1200,
Team Nova,1160,Selendis,1620,Zagara,1360,Kerrigan,1040,Stukov,1200,Selendis,840,Stukov,1200,Prophet,1900,Ascendant,1160,Ascendant,1240,
Dehaka,1800,Stukov,1160,Dark Templar,1600,Prophet,1840,Selendis,1260,Team Nova,1500,Helios,1600,Engineer,1240,Scientist,1220,Niadra,1320,
Zagara,1520,Ares,1620,Artanis,1140,Prophet,1160,Spirit,1560,Dehaka,1460,Ascendant,1280,Team Nova,1580,Dark Templar,2100,
Scientist,2420,Swann,2160,Nomad,1720,Stukov,1660,Selendis,1820,Nomad,1620,Dark Templar,2160,Zagara,1380,Kerrigan,1440,Prophet,1780,
Prophet,1540,Dehaka,1600,Nomad,1500,Spirit,1700,Scientist,1760,Stukov,1400,Spirit,1200,Stukov,1820,Mira,1380,Zagara,1500,
Team Nova,1420,Selendis,1280,Dehaka,1640,Mira,1480,Mira,1620,Zagara,1340,Scientist,1740,Prophet,1320,Selendis,1780,Ascendant,1200,
Dehaka,2120,Ascendant,1380,Prophet,1540,Scientist,1220,Stukov,880,Mira,1200,Ares,1360,Niadra,1480,Selendis,1360,Selendis,1400,
Mira,1220,Zagara,1200,Selendis,1360,Helios,1700,Scientist,1200,Thakras,2580,Prophet,1580,Artanis,1000,
Scientist,1820,Ascendant,1540,Ascendant,1700,Artanis,1280,Engineer,1820,Scientist,2120,Niadra,1260,Ares,2220,Swann,1460,Dehaka,1280,
Scientist,1620,Thakras,1200,Prophet,1800,Stukov,1200,Ascendant,1200,Spirit,1260,Zagara,1320,Selendis,1280,Ascendant,1860,
Spirit,1780,Zagara,1900,Ascendant,1140,Dehaka,1840,Ascendant,1180,Ascendant,600,Ascendant,1100,Mira,1320,Scientist,1400,Helios,1980,
Zagara,1240,Ascendant,1220,Ares,1520,Thakras,1040,Selendis,1080,Nomad,2060,Helios,1540,Ascendant,1200,Dark Templar,1780,Team Nova,2120,
Scientist,1600,Spirit,1640,Prophet,1200,Zagara,1340,Artanis,1260,Spirit,1260,Dehaka,1380,Spirit,1200,Dark Templar,2180,Nomad,960,
Selendis,1300,Zagara,1460,Selendis,1240,Prophet,1240,Stukov,1560,Kerrigan,2560,Mira,2120,Scientist,1240,Selendis,1260,Ascendant,1200,
Nomad,1640,Dark Templar,1460,Zagara,1520,Ascendant,780,Dehaka,1260,Nomad,1660,Spirit,1720,Mira,1840,Scientist,1200,Scientist,1200,
Kerrigan,1120,Team Nova,1840,Ascendant,1260,Scientist,1760,Ascendant,1260,Stukov,1600,Zagara,1380,Ascendant,860,Artanis,1460,
Prophet,1800,Scientist,2260,Nomad,1560,Stukov,1500,Engineer,1420,Dark Templar,1460,Zagara,1180,Kerrigan,1960,Team Nova,1540,Ares,1260,
Kerrigan,1280,Helios,1600,Artanis,1360,Selendis,1220,Selendis,1360,Stukov,1200,Dark Templar,1480,Zagara,1200,Artanis,1200,Prophet,1080,
Ascendant,1260,Prophet,1620,Stukov,1420,Ascendant,1200,Kerrigan,1160,Selendis,1480,Ascendant,1160,Zagara,1280,Selendis,1380,Ascendant,1200,
Team Nova,2100,Nomad,2580,Dehaka,2580,Ascendant,1640,Zagara,1420,Selendis,1720,Spirit,2160,Ascendant,1780,Ascendant,2320,Selendis,1300,
Dark Templar,1240,Ascendant,1180,Dehaka,1240,Niadra,1800,Ascendant,1640,Spirit,2220,Swann,1440,Ascendant,1880,Scientist,1160,Scientist,1320,
Selendis,1440,Ascendant,1300,Nomad,1160,Swann,1340,Prophet,1460,Scientist,1760,Kerrigan,1240,Stukov,1200,Ascendant,1320,
Dark Templar,2180,Thakras,1120,Nomad,1400,Zagara,1480,Spirit,1180,Nomad,1320,Spirit,1400,Ascendant,1200,Scientist,1200,
